职位,薪资,工作时间,公司,工作地点,所在城市
特效图像算法工程师,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区知春路65号中国卫星通信大厦2层，邮编：100190,北京
nlp算法工程师,20k-30k,3-5年,平安付智能技术有限公司,凯滨路206号平安大厦A座,上海
3d视觉算法工程师,30k-60k,1-3年,北京星尘纪元智能科技有限公司,尚都soho北塔b座910室,北京
机器学习算法工程师,25k-40k,10年以上,四川寒锋供应链管理有限责任公司,1号线天府三街(地铁站),成都
算法工程师,15k-25k,1-3年,北京外企德科人力资源服务上海有限公司,华为武汉研究所,武汉
算法工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,芯城科技园,长沙
算法工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,上海市新金桥路2222号 上海华为研究所,上海
计算机视觉及多模态算法工程师-电商,40k-80k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
算法工程师-抓取方向,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
风控算法工程师-生活服务,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村南四街18号紫金数码园四号楼，邮编：100190,北京
深度学习算法工程师-机器人方向,20k-40k,不限,抖音视界（北京）有限公司,海淀北二街10号泰鹏大厦10层,北京
算法研发工程师-商业化生态与安全,20k-40k,不限,抖音视界（北京）有限公司,宜山路1999号科技绿洲三期24号楼,上海
计算机视觉算法工程师,30k-60k,不限,抖音视界（北京）有限公司,中国大陆上海上海市闵行区田林路888弄科技绿洲10号楼，邮编：200000,上海
增长策略算法工程师,30k-60k,在校/应届,抖音视界（北京）有限公司,中关村大街11号E世界财富中心A座12F,北京
资深算法工程师,30k-60k,不限,抖音视界（北京）有限公司,学清路东50米学清嘉创大厦B座1层,北京
Camera算法研发高级工程师 — 抖音,25k-50k,3-5年,抖音视界（北京）有限公司,南海大道2163号来福士广场17层,深圳
算法工程师（前沿科技团队）,20k-35k,3-5年,平安科技（深圳）有限公司,新源南路3号平安国际金融中心A座9层02室,北京
推荐算法工程师,20k-35k,3-5年,TCL实业控股股份有限公司,深圳南山区中山园路1001号TCL国际E城TCL多媒体大厦,深圳
cv算法工程师,20k-35k,3-5年,深思考人工智能机器人科技（北京）有限公司,中关村发展大厦,北京
激光slam算法工程师,22k-40k,1-3年,杭州宇树科技有限公司,峰达创意园1号楼3楼,杭州
图像算法工程师,20k-35k,在校/应届,深思考人工智能机器人科技（北京）有限公司,上地信息路12号中关村发展大厦B座203,北京
